"location","status_id","created_at","text"
"Lehigh Valley, PA","1117211762321960960",2019-04-13 23:43:35,"Penn State Lehigh Valley contributed $36 million to the Pennsylvania economy in the fiscal year 2017, according to a new study. Read more here: https://t.co/dQubE17iK2 https://t.co/oWvcV1mzRt"
"Fort Smith","1117211758148706304",2019-04-13 23:43:34,"@samstein Nope. Running on strong economy, sound foreign policy and #MAGA.  R’s don’t have to spotlight those three. They do it all themselves to your detriment. The D’s biggest initiative as of late is requesting tax returns."
"Australia","1117211641525833729",2019-04-13 23:43:06,"@sallymcmanus The image does not need words to describe the trickle down economy https://t.co/9jhewNT1nd"
"Australia","1116990373782413312",2019-04-13 09:03:52,"@Huw_Merlin There are so many facts to discredit Morrison &amp; Co managing the economy that they should look for another issues to take credit (if any) 
https://t.co/wVRYk8uhhu"
"Houston, TX","1117211604880375808",2019-04-13 23:42:58,"@realDonaldTrump ""It fell to JPMorgan Chase CEO Jamie Dimon to break the news to Waters that the big banks are no longer in the business of making student loans. The federal government forced commercial banks out of the student loan business back in 2010. "" https://t.co/sedsD8AMGE"
"United States","1117211429369733120",2019-04-13 23:42:16,"@JustinTrudeau @marcomendicino Whether people like @realDonaldTrump or not doesn’t matter. Look at Trumps economy, it’s roaring. Look at <U+0001F1E8><U+0001F1E6>, people are losing their jobs, companies are leaving, people are struggling. Trudeau taxes the middle class while giving billionaires millions. VOTE THIS ASSHOLE OUT! https://t.co/ZNiD4kXRiz"
"Port Orange, FL","1117211410407284737",2019-04-13 23:42:11,"@roadkil24381709 @realDonaldTrump Business owners aren’t in social services; they’re in business to produce products/services we want and can employ people. That’s how the economy hums along. If Trump didn’t care about the little guy why is he wasting time creating so much opportunity?"
"Earth. ","1117211325489303553",2019-04-13 23:41:51,"""If you can't manage money you can't manage the economy"" - Scott Morrison.

He just spent $185 million opening &amp; closing Xmas Island!

LNP gave the Great Barrier Reef Foundation $500 million dollars they didn't even ask for!  
#insiders"
"Earth. ","1116545602920169473",2019-04-12 03:36:30,"""If you can't manage the economy you can't manage the country""
- Scott Morrison.

Australia's net debt when Labor left office in 2013 = $174.5 billion.

Australia's net debt TODAY under the LNP = $354.5 billion.

Difference?

LNP decreased spending growth from 4% to 2% <U+0001F644>
#auspol"
"United States","1117211278592835586",2019-04-13 23:41:40,"TRUMPS ECONOMY IS JUST BOOMING!! 

Bed Bath &amp; Beyond to close 40 stores - CNN #SmartNews  https://t.co/itdrEjbE4Q"
"United States","1116749977957609477",2019-04-12 17:08:37,"Alan Greenspan: Economy will 'fade' because of entitlement burden #SmartNews 

OH.... it’s Coming!!!! https://t.co/VJo6u3fIuz"
"Edmonton, Alberta","1117206790368686080",2019-04-13 23:23:50,"This really goes to show what the Postmedia hedge fund owners understand by a '""stronger economy""--a economy run by and for the rich. Kenney's their man. #abpoli #abvote https://t.co/pkrLDWJjft"
"Edmonton, Alberta","1117211271466639361",2019-04-13 23:41:38,"The thing is, @postmedianet is wrong. A vote for @JKenney is not a vote for a stronger economy. #Alberta's workers cannot afford the devastating reversal that the UCP will try to impose. AB cannot afford a neoliberal extremist. #Abvote"
"Edmonton, Alberta","1116553283294785536",2019-04-12 04:07:01,"Global economy would save up to $160 trillion by shifting to renewables, electric cars https://t.co/4dlelNZTud via @thinkprogress"
"Washington, DC","1117211182623072256",2019-04-13 23:41:17,"@PJZive @bkdow1 @FrankPayton13 @yepsuzn @ccinthemiddle @Howdy1358 @JoeSaun54741361 @misterdish69 @dforbesh @Toneman807 @VoiceOfReasonNW @OurPeopleVoice @oh_marple @Consofcooking1 @Neverdemagain2 @1_Samuel_17 @GriffRig @goober65 @GaltsStorm @GeorgeWBush93 @LongBeardBobby1 @Terrterr6 @holnortes @iAmTheWatchman3 @LoriHoward73 @jonella_moore @RayCroteau2 @jimbo_always @FlashToso @BethellMarilyn @TheMamaSavage @RsrnF @CyndiRocks1 @Quiet_steph @PHarnagy @herrmann_ron @American_Gigi @dskall2 @ICanPlainlySee @RevSwigert @Dedona51 @Deacon5W @joaed_ @marino_dean @0WilliamPaxton0 @Bjn50Nistor @Lori1981Ann1 @SpeakerPelosi @chuckschumer president Obama brought us back from nothing the only president never to grow the economy at 1%, He was a job-killing presidency. https://t.co/gkJOpeDULY"
"Calgary","1117211133788610561",2019-04-13 23:41:05,"@SteveMo600 @CamWesthead @albertaNDP @RachelNotley you do realize that the economy started tanking 2 months before the ndp was voted in right? and that they had to work with way less money than they anticipated because all of the funds that should have been saved by the PCs magically disappeared (into their pockets)"
"Florida","1117211096014831617",2019-04-13 23:40:56,"Support the Contributions Immigrants make to Florida’s Economy &gt;&gt;&gt; https://t.co/UVCpeyjPjs"
"Atlanta","1117211069997514752",2019-04-13 23:40:50,"I’ve been giving this advice for years...”Hidden behind the hoopla Silicon Valley generates about the latest and greatest, there’s a giant economy of reused phones. Apple, Samsung, phone carriers and retailers are offering big... https://t.co/stNXhvDv5k"
"San Antonio, TX","1117211032907390977",2019-04-13 23:40:41,"the underground economy is a loosely defined unregulated market unhindered by taxes, government permits, or human protections. #StMUSoc"
"Upstate NY","1117211001722679296",2019-04-13 23:40:34,"@drakkinabrarian @JodyShenn @SarahTaber_bww perhaps insulated them from the vicissitudes of the world as it is - and as it was. They do not participate in the debt economy. Your idea that mediaeval farming shares much with modern farming might mean htat the separateness of the Amish is their strength both then and now. 2/2"
