"location","status_id","created_at","text"
"Triadelphia","1117215418551291904",2019-04-13 23:58:07,"Buy/Sell altcoin volatility with up to 100x Leverage at PrimeXBT! <U+0001F389><U+0001F4B0>

Sign up straight away and convert your $150 into $15000:

<U+2705> https://t.co/8nUlnRcpqp <U+2705>

Receive money even when it is dropping! <U+0001F4C9><U+0001F4C9>

$MDA - $NANO - $HT - $ICX - $ICX - $CRYPTO - $BTC - $MCO - $MCO - https://t.co/j7I1ioOBPi"
"Broomfield, CO","1117215415967592448",2019-04-13 23:58:06,"@Mercem2612 @ltnldy805 @realDonaldTrump She literally posed nude for money. Who is lacking class here?"
"Salt Lake City","1117215415430602752",2019-04-13 23:58:06,"@adonsports @BennyRaskin @chriskamrani Bad thing was I thought the guy was great. I kept hiring him. I could write Mexican Vacation and it would all be true. Ran out of money. Bus hit a truck. Seven hour bus ride with no bathroom. It was classic."
"Las Vegas, NV","1117215411366326272",2019-04-13 23:58:05,"@DaithiDeNogla @GreenManGaming I pre-ordered it months ago, now youre telling me I could have save money?!? Where were you last year??"
"Bagdad, Az","1117215399823564800",2019-04-13 23:58:02,"@LoganPaul save your money. It's Round."
"United States","1117215390323683328",2019-04-13 23:58:00,"Ocasio-Cortez Proposes Nationwide Motorcycle Ban – Taters Gonna Tate

Comrade Cortez wants more control-over your life your money your freedom and Democrats support her crazy are you a Democrat? https://t.co/s2UxoDedOp"
"San Marcos, TX","1117215385714032645",2019-04-13 23:57:59,"“You have no money why are you at Ross”"
"South Philly","1117215384099123201",2019-04-13 23:57:59,"Been grinding an sacrificing all my life” made a shit load of paper In the mist if it too.. that’s why the money don’t excite me, grinding to get it is more exciting #BUNDLEUP"
"Seattle, WA","1117215373445582848",2019-04-13 23:57:56,"@Puppypalooza4 @MEMcovfefe4 @davidbrockdc Yup, best thing is to just keep on keeping on and let them hang themselves. They will only be able to do it so many times before legal precedents are set against them in court, and their money runs out."
"Orlando, FL","1117215366411956226",2019-04-13 23:57:54,"I been grinding so hard with my business making the money I need to where I don’t need a job but i still go to work everyday just to be a regular person ! <U+0001F44C><U+0001F3FE>"
"Columbia, SC ","1117215356144066561",2019-04-13 23:57:52,"I'm inviting you to join Viral Pay, a site that lets you earn money with social media. I just earned $167.00 and you can too! Sign up today for a $25 bonus! https://t.co/7yzkAi5xVG"
" CT","1117215352134541312",2019-04-13 23:57:51,"Welp, when Jason Vargas is in your rotation this is one of those money games to bet on"
"Illinois, USA","1117215350075133953",2019-04-13 23:57:50,"@neslekkim @PrintedSolid @Sean_IC3D It was a fun project. For the money I spent I'd rather get something else but it was great to learn on and prints really nice."
